<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MGNT;D;07/04/22;000000;4120.5;4250;4120;4247;96710
MGNT;D;08/04/22;000000;4251;4422;4222;4335;209714
MGNT;D;11/04/22;000000;4367;4405;4250;4310;95052
MGNT;D;12/04/22;000000;4316.5;4420;4251.5;4297.5;176142
MGNT;D;13/04/22;000000;4299;4340;4216;4256.5;65483
MGNT;D;14/04/22;000000;4256.5;4262.5;3980;4017;127874
MGNT;D;15/04/22;000000;4020;4145;3902;4070.5;89798
MGNT;D;18/04/22;000000;4109;4156.5;3963;4000;84321
MGNT;D;19/04/22;000000;4000;4038.5;3850;4038;136758
MGNT;D;20/04/22;000000;4054;4300;3962.5;4300;95466
MGNT;D;21/04/22;000000;4241;4273.5;4055.5;4197.5;160577
MGNT;D;22/04/22;000000;4163;4330;4137;4170;357421
MGNT;D;25/04/22;000000;4163;4318.5;4075;4299.5;94345
MGNT;D;26/04/22;000000;4335.5;4460;4332;4460;159269
MGNT;D;27/04/22;000000;4470.5;4761;4450.5;4720;234941
MGNT;D;28/04/22;000000;4760;4939;4443;4566.5;296331
MGNT;D;29/04/22;000000;4580.5;4700;4355;4592.5;257475
MGNT;D;04/05/22;000000;4611;4796.5;4506;4651;142302
MGNT;D;05/05/22;000000;4681;4792;4670;4741;81292
MGNT;D;06/05/22;000000;4770;4784.5;4662.5;4750;58612
MGNT;D;11/05/22;000000;4759;4826;4680;4805;95713
MGNT;D;12/05/22;000000;4770.5;4898;4690;4720;129648
MGNT;D;13/05/22;000000;4740;4790;4608.5;4637;64815
MGNT;D;16/05/22;000000;4660;4825;4651;4790.5;74639
MGNT;D;17/05/22;000000;4846;4875;4790.5;4828.5;63640
MGNT;D;18/05/22;000000;4840.5;4923.5;4833;4890;70638
MGNT;D;19/05/22;000000;4895;4904.5;4792;4885;101134
MGNT;D;20/05/22;000000;4883.5;4884;4610;4620;85233
MGNT;D;23/05/22;000000;4658.5;4686.5;4412;4475.5;76594
MGNT;D;24/05/22;000000;4462.5;4474;4259;4350;84749
MGNT;D;25/05/22;000000;4349;4576;4348;4576;65082
MGNT;D;26/05/22;000000;4579;4690;4550;4610;92338
MGNT;D;27/05/22;000000;4610;4632;4470;4520;63091
MGNT;D;30/05/22;000000;4522;4622;4364;4622;78455
MGNT;D;31/05/22;000000;4605;4690.5;4515.5;4640;104875
MGNT;D;01/06/22;000000;4637.5;4637.5;4512.5;4586.5;65806
MGNT;D;02/06/22;000000;4565;4575;4380;4448;63262
MGNT;D;03/06/22;000000;4451;4452;4261;4382;91790
MGNT;D;06/06/22;000000;4362;4374.5;4200.5;4223.5;94818
MGNT;D;07/06/22;000000;4223.5;4463;4120;4420;199361
MGNT;D;08/06/22;000000;4430;4488;4280.5;4338;123772
MGNT;D;09/06/22;000000;4323;4324.5;4219;4300;75202
MGNT;D;10/06/22;000000;4298;4331;4185;4241;103710
MGNT;D;14/06/22;000000;4210;4237.5;4160;4200;58784
MGNT;D;15/06/22;000000;4197.5;4300;4150;4257;132469
MGNT;D;16/06/22;000000;4298.5;4399.5;4261.5;4393;126608
MGNT;D;17/06/22;000000;4383;4399.5;4295;4319;72114
MGNT;D;20/06/22;000000;4310;4370;4287.5;4370;66105
MGNT;D;21/06/22;000000;4360;4365;4250;4365;83015
MGNT;D;22/06/22;000000;4355;4474;4275;4458;174144
MGNT;D;23/06/22;000000;4460;4469;4315;4405;145039
MGNT;D;24/06/22;000000;4399.5;4420;4247;4359;130128
MGNT;D;27/06/22;000000;4345;4360;4294;4360;57987
MGNT;D;28/06/22;000000;4347.5;4360;4297;4327;105275
MGNT;D;29/06/22;000000;4326;4359;4271;4316;69040
MGNT;D;30/06/22;000000;4302;4347.5;4192.5;4238;176948
MGNT;D;01/07/22;000000;4251;4312;4155;4155;74895
MGNT;D;04/07/22;000000;4225;4275;4155;4198;77029
MGNT;D;05/07/22;000000;4199.5;4314;4172.5;4314;95055
MGNT;D;06/07/22;000000;4300;4360;4280;4306;109281
MGNT;D;07/07/22;000000;4312.5;4458;4300.5;4420;206506
MGNT;D;08/07/22;000000;4420;4448;4359;4439;75406
MGNT;D;11/07/22;000000;4427;4429.5;4282.5;4385;66586
MGNT;D;12/07/22;000000;4315;4369.5;4250;4300;78231
MGNT;D;13/07/22;000000;4311.5;4328;4250;4255.5;83849
MGNT;D;14/07/22;000000;4270.5;4285.5;4182.5;4228;69013
MGNT;D;15/07/22;000000;4230;4380;4200;4380;104709
MGNT;D;18/07/22;000000;4378.5;4425;4308;4382;100268
MGNT;D;19/07/22;000000;4383;4394.5;4225;4355;105785
MGNT;D;20/07/22;000000;4351;4370.5;4271.5;4315;56003
MGNT;D;21/07/22;000000;4333.5;4333.5;4234.5;4251;49505
MGNT;D;22/07/22;000000;4248.5;4345;4240.5;4341;75012
MGNT;D;25/07/22;000000;4342.5;4390;4317;4345;61994
MGNT;D;26/07/22;000000;4355;4520;4351;4512;156672
MGNT;D;27/07/22;000000;4521.5;4638;4521;4630;166429
MGNT;D;28/07/22;000000;4698;4782;4630;4765.5;372654
MGNT;D;29/07/22;000000;4771;4889;4716;4889;251989
MGNT;D;01/08/22;000000;4881;4881;4765.5;4800;251631
MGNT;D;02/08/22;000000;4796;4885;4720;4813;209687
MGNT;D;03/08/22;000000;4813;4948;4808.5;4910;259468
MGNT;D;04/08/22;000000;4910;4975;4856.5;4883;329501
MGNT;D;05/08/22;000000;4860.5;4880;4738;4799.5;245088
MGNT;D;08/08/22;000000;4855.5;4948.5;4835;4880;120183
MGNT;D;09/08/22;000000;4890;5059;4852.5;5032.5;294820
MGNT;D;10/08/22;000000;5036;5088.5;5000.5;5024;119764
MGNT;D;11/08/22;000000;5015;5069;4950;5002.5;88843
MGNT;D;12/08/22;000000;5004;5139.5;4977.5;5134;98943
MGNT;D;15/08/22;000000;5145;5186.5;5063;5159.5;133346
MGNT;D;16/08/22;000000;5160;5177;5102;5177;78902
MGNT;D;17/08/22;000000;5162.5;5300;5151;5270;196192
MGNT;D;18/08/22;000000;5275;5354;5250;5350;125583
MGNT;D;19/08/22;000000;5359.5;5359.5;5174;5245;387281
MGNT;D;22/08/22;000000;5243;5334.5;5196;5302;154022
MGNT;D;23/08/22;000000;5302;5331;5254;5319;120641
MGNT;D;24/08/22;000000;5317;5393;5281;5393;145640
MGNT;D;25/08/22;000000;5384;5450;5382.5;5440;123671
MGNT;D;26/08/22;000000;5430;5469;5382.5;5459.5;75001
MGNT;D;29/08/22;000000;5438.5;5459;5418;5450;68008
MGNT;D;30/08/22;000000;5449;5450;5420.5;5450;70808
MGNT;D;31/08/22;000000;5441.5;5509;5350;5490.5;160940
MGNT;D;01/09/22;000000;5478;5490;5392;5399;96097
MGNT;D;02/09/22;000000;5439.5;5485.5;5406.5;5485.5;68246
MGNT;D;05/09/22;000000;5485.5;5600;5451;5600;87261
MGNT;D;06/09/22;000000;5593;5597.5;5510;5510;146777
MGNT;D;07/09/22;000000;5503;5544.5;5455.5;5490;86538
MGNT;D;08/09/22;000000;5480;5490;5433;5433;94662
MGNT;D;09/09/22;000000;5435;5499;5420.5;5499;59268
MGNT;D;12/09/22;000000;5494.5;5630.5;5464;5575;122114
MGNT;D;13/09/22;000000;5578;5629;5545.5;5594;106566
MGNT;D;14/09/22;000000;5575.5;5593;5457.5;5558;133189
MGNT;D;15/09/22;000000;5558;5570;5480;5555.5;142117
MGNT;D;16/09/22;000000;5541;5620;5527.5;5582;100479
MGNT;D;19/09/22;000000;5549;5570;5480;5505;72840
MGNT;D;20/09/22;000000;5515;5515;5101;5222.5;473697
MGNT;D;21/09/22;000000;4892.5;5100;4850;4904.5;316196
MGNT;D;22/09/22;000000;4907.5;5085;4907.5;5015;185639
MGNT;D;23/09/22;000000;5020;5055;4700;4889;270940
MGNT;D;26/09/22;000000;4815;4866;4380;4474;335384
MGNT;D;27/09/22;000000;4519;4650;4306.5;4481.5;205876
MGNT;D;28/09/22;000000;4465.5;4780;4400;4750;170181
MGNT;D;29/09/22;000000;4732;4732.5;4421;4537.5;181314
MGNT;D;30/09/22;000000;4521;4745;4355;4722;222311
MGNT;D;03/10/22;000000;4740;5030;4633;5008;265789
MGNT;D;04/10/22;000000;4999;5019.5;4843;4906.5;158778
MGNT;D;05/10/22;000000;4900;4907;4740;4784.5;235135
MGNT;D;06/10/22;000000;4802;4846.5;4711;4719.5;107996
MGNT;D;07/10/22;000000;4719;4719;4530;4546;118469
MGNT;D;10/10/22;000000;4393;4690;4352;4645;165985
MGNT;D;11/10/22;000000;4690;4849;4668.5;4838;173253
MGNT;D;12/10/22;000000;4866.5;4910;4710;4772;132535
MGNT;D;13/10/22;000000;4800;4804;4731;4772.5;82993
MGNT;D;14/10/22;000000;4780;4845;4760.5;4810;93428
MGNT;D;17/10/22;000000;4848;5064.5;4818.5;5060.5;199643
MGNT;D;18/10/22;000000;5067;5124.5;4890;4918.5;156334
MGNT;D;19/10/22;000000;4891;4999;4820;4961;212577
MGNT;D;20/10/22;000000;4977;5058.5;4961.5;5011.5;114379
MGNT;D;21/10/22;000000;5015;5188;4971;5164;132984
MGNT;D;24/10/22;000000;5177;5256;5121;5196.5;107273
MGNT;D;25/10/22;000000;5204.5;5350;5167;5315;153740
MGNT;D;26/10/22;000000;5330;5369.5;5130;5270;160025
MGNT;D;27/10/22;000000;5300;5320;5182.5;5247;198189
MGNT;D;28/10/22;000000;5235;5291.5;5180;5269;132419
MGNT;D;31/10/22;000000;5280;5302;5208;5237;92502
MGNT;D;01/11/22;000000;5253;5265;5190;5249.5;75142
MGNT;D;02/11/22;000000;5239.5;5270;5030;5170;87739
MGNT;D;03/11/22;000000;5164;5196;5100;5183;90053
MGNT;D;07/11/22;000000;5205.5;5259;5160;5208.5;127804
MGNT;D;08/11/22;000000;5203.5;5203.5;5105;5165;159904
MGNT;D;09/11/22;000000;5170;5170;5000;5027.5;156735
MGNT;D;10/11/22;000000;5043;5059.5;4927;5031.5;215778
MGNT;D;11/11/22;000000;5048.5;5050;4966.5;5005;114241
MGNT;D;14/11/22;000000;5010;5049.5;4952;4974.5;124731
