<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
LKOH;D;31/08/22;000000;4290;4300;4161.5;4270;1275668
LKOH;D;01/09/22;000000;4250.5;4773;4221;4722;2447831
LKOH;D;02/09/22;000000;4661;4714.5;4556;4595;1752377
LKOH;D;05/09/22;000000;4620;4690;4483;4658;1124415
LKOH;D;06/09/22;000000;4660;4666.5;4410.5;4545;1090300
LKOH;D;07/09/22;000000;4542;4542;4420;4420;805353
LKOH;D;08/09/22;000000;4400;4432.5;4376;4410;423825
LKOH;D;09/09/22;000000;4429.5;4500;4401.5;4470;514328
LKOH;D;12/09/22;000000;4460;4591.5;4426.5;4560;617887
LKOH;D;13/09/22;000000;4570;4588.5;4510;4542.5;410899
LKOH;D;14/09/22;000000;4532;4548;4403.5;4472;794850
LKOH;D;15/09/22;000000;4470.5;4558;4436;4530;603254
LKOH;D;16/09/22;000000;4537.5;4580;4475;4519;477618
LKOH;D;19/09/22;000000;4520;4548;4445;4496;349836
LKOH;D;20/09/22;000000;4477;4494;3830;4055;2617746
LKOH;D;21/09/22;000000;3622.5;4044;3622.5;3955;1473839
LKOH;D;22/09/22;000000;3951.5;4095.5;3951.5;4011;729792
LKOH;D;23/09/22;000000;4014;4037;3875;3948.5;952243
LKOH;D;26/09/22;000000;3856;3882;3605.5;3708;1474555
LKOH;D;27/09/22;000000;3786.5;3924;3715;3865;817686
LKOH;D;28/09/22;000000;3839.5;3967;3806.5;3907.5;659043
LKOH;D;29/09/22;000000;3942;3958;3809;3882.5;752363
LKOH;D;30/09/22;000000;3897.5;4088;3750;3965;851600
LKOH;D;03/10/22;000000;3980;4092;3912.5;4077;543431
LKOH;D;04/10/22;000000;4098;4140;3961.5;4094;672413
LKOH;D;05/10/22;000000;4086;4189;4000;4102.5;827000
LKOH;D;06/10/22;000000;4116;4158;4010;4041;472546
LKOH;D;07/10/22;000000;4024;4030;3850;3875;576064
LKOH;D;10/10/22;000000;3778;4069;3757;4035;824990
LKOH;D;11/10/22;000000;4040;4188;4012.5;4170;664524
LKOH;D;12/10/22;000000;4184;4280;4135;4149;796900
LKOH;D;13/10/22;000000;4150;4261.5;4118;4185.5;635612
LKOH;D;14/10/22;000000;4199;4203;4090;4139;484858
LKOH;D;17/10/22;000000;4150;4220;4113;4212.5;515136
LKOH;D;18/10/22;000000;4250;4359;4207;4240;759619
LKOH;D;19/10/22;000000;4211;4277;4106.5;4204.5;931135
LKOH;D;20/10/22;000000;4215;4400;4180.5;4380.5;1048956
LKOH;D;21/10/22;000000;4399;4462;4350.5;4433;851650
LKOH;D;24/10/22;000000;4474;4491;4385.5;4439.5;629383
LKOH;D;25/10/22;000000;4465;4579.5;4436;4569.5;649858
LKOH;D;26/10/22;000000;4574;4624;4512.5;4613.5;667627
LKOH;D;27/10/22;000000;4623.5;4746.5;4592;4724;788125
LKOH;D;28/10/22;000000;4712;4800;4516;4700.5;2322687
LKOH;D;31/10/22;000000;4730;4765;4659;4695.5;641281
LKOH;D;01/11/22;000000;4725;4729.5;4660;4700;340130
LKOH;D;02/11/22;000000;4710;4788;4626.5;4670;999164
LKOH;D;03/11/22;000000;4671;4687;4620;4687;554884
LKOH;D;07/11/22;000000;4715;4732;4695;4723.5;678096
LKOH;D;08/11/22;000000;4723.5;4725;4688;4697.5;340660
LKOH;D;09/11/22;000000;4697.5;4713;4600;4632;482655
LKOH;D;10/11/22;000000;4633.5;4694.5;4625.5;4681;482801
LKOH;D;11/11/22;000000;4690;4694;4648.5;4670;368040
LKOH;D;14/11/22;000000;4681;4684.5;4654;4658.5;369108
LKOH;D;15/11/22;000000;4660;4676;4427;4565;857314
LKOH;D;16/11/22;000000;4596;4670;4576.5;4661.5;415157
LKOH;D;17/11/22;000000;4662;4666;4602;4621;260075
LKOH;D;18/11/22;000000;4583.5;4641;4583.5;4623;248612
LKOH;D;21/11/22;000000;4625;4625;4555;4605.5;419374
LKOH;D;22/11/22;000000;4607.5;4646.5;4581;4618;324843
LKOH;D;23/11/22;000000;4625;4719;4610;4679;611217
LKOH;D;24/11/22;000000;4680;4707;4653;4664;220840
LKOH;D;25/11/22;000000;4665;4678.5;4635;4669;234101
LKOH;D;28/11/22;000000;4646.5;4657;4590;4624;456997
LKOH;D;29/11/22;000000;4631.5;4648;4595;4602;455913
LKOH;D;30/11/22;000000;4604.5;4618;4584;4614.5;335321
LKOH;D;01/12/22;000000;4618;4623.5;4572.5;4599.5;322657
LKOH;D;02/12/22;000000;4590;4598;4574;4577.5;320122
LKOH;D;05/12/22;000000;4589.5;4649;4575;4619;914243
LKOH;D;06/12/22;000000;4632.5;4633;4586;4603.5;435963
LKOH;D;07/12/22;000000;4611;4612;4580;4592.5;263182
LKOH;D;08/12/22;000000;4600;4602;4565;4578;284096
LKOH;D;09/12/22;000000;4583.5;4586;4570;4583;224280
LKOH;D;12/12/22;000000;4593;4607;4575;4583.5;324101
LKOH;D;13/12/22;000000;4595;4595;4560;4577.5;411238
LKOH;D;14/12/22;000000;4579;4604;4560;4590.5;557335
LKOH;D;15/12/22;000000;4590.5;4599.5;4511;4521;721518
LKOH;D;16/12/22;000000;4525;4590;4501;4580;632828
LKOH;D;19/12/22;000000;4585;4625;4530.5;4625;1252262
LKOH;D;20/12/22;000000;4146;4146;3883.5;4076;1869037
LKOH;D;21/12/22;000000;4085;4095;3997;4040.5;697331
LKOH;D;22/12/22;000000;4050;4058.5;4017;4027.5;426735
LKOH;D;23/12/22;000000;4022;4024.5;3985;4010.5;412953
LKOH;D;26/12/22;000000;4014;4047;4000;4010;379388
LKOH;D;27/12/22;000000;4020;4035;4011;4028.5;391901
LKOH;D;28/12/22;000000;4033;4040;4010;4015.5;374687
LKOH;D;29/12/22;000000;4019;4035;4015.5;4022;273701
LKOH;D;30/12/22;000000;4029.5;4088;4022.5;4069.5;453881
LKOH;D;03/01/23;000000;4082;4139;4075.5;4123.5;319378
LKOH;D;04/01/23;000000;4124;4165.5;4090;4116;404857
LKOH;D;05/01/23;000000;4121;4127;4081.5;4087;175380
LKOH;D;06/01/23;000000;4088;4118;4085;4089;239592
LKOH;D;09/01/23;000000;4105;4123;4093;4110;355072
LKOH;D;10/01/23;000000;4100;4104;4063.5;4079;286426
LKOH;D;11/01/23;000000;4079.5;4099;4065.5;4090.5;263948
LKOH;D;12/01/23;000000;4091;4094;4071;4078.5;173973
LKOH;D;13/01/23;000000;4079;4090;4068;4074;222545
LKOH;D;16/01/23;000000;4078.5;4096.5;4045;4052;462722
LKOH;D;17/01/23;000000;4054;4060.5;4015;4025;326109
LKOH;D;18/01/23;000000;4038;4049;4012;4021;269871
LKOH;D;19/01/23;000000;4019.5;4020;3974;3981;413926
LKOH;D;20/01/23;000000;3983.5;3995;3925;3944;382012
LKOH;D;23/01/23;000000;3950;3979.5;3944.5;3972.5;339589
LKOH;D;24/01/23;000000;3986;3990;3930.5;3942.5;295072
LKOH;D;25/01/23;000000;3945.5;3960;3900.5;3923.5;541599
LKOH;D;26/01/23;000000;3924;3935;3901.5;3911;325699
LKOH;D;27/01/23;000000;3911;3920;3892.5;3917;473069
