<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MTLR;D;26/05/22;000000;126.45;130.4;124.77;128.29;2607562
MTLR;D;27/05/22;000000;128.88;132.76;127.3;129.14;2704630
MTLR;D;30/05/22;000000;129.13;136.7;128.1;132.33;4531437
MTLR;D;31/05/22;000000;133.57;133.71;128.21;129.83;2517144
MTLR;D;01/06/22;000000;122.1;133.47;120.05;132.7;5771761
MTLR;D;02/06/22;000000;132.51;133.65;128.43;130.57;3457816
MTLR;D;03/06/22;000000;131;132.6;122;123.06;3107788
MTLR;D;06/06/22;000000;124;124.72;116.1;117.5;5179541
MTLR;D;07/06/22;000000;117;129;115.5;129;4470307
MTLR;D;08/06/22;000000;128.64;130.71;125.26;126.65;3776648
MTLR;D;09/06/22;000000;126.98;126.99;121.24;123.54;1513505
MTLR;D;10/06/22;000000;123.41;123.41;120.91;121.1;1083309
MTLR;D;14/06/22;000000;120.83;120.9;116.3;119.54;1500312
MTLR;D;15/06/22;000000;119.99;122.27;117.8;119;1154811
MTLR;D;16/06/22;000000;118.85;121.84;117.27;120.92;1642306
MTLR;D;17/06/22;000000;122.05;122.05;118.51;119.62;813842
MTLR;D;20/06/22;000000;119.69;120.66;115.2;118.98;1865801
MTLR;D;21/06/22;000000;119;119.88;116;116.3;1666645
MTLR;D;22/06/22;000000;116.01;117.5;112.06;113.87;2823602
MTLR;D;23/06/22;000000;114.05;114.28;110.66;112.48;1795640
MTLR;D;24/06/22;000000;112.93;120.55;112.75;118.89;3201365
MTLR;D;27/06/22;000000;117.23;122.68;117.21;119.57;2252201
MTLR;D;28/06/22;000000;120.04;124.77;118.25;122.64;2746813
MTLR;D;29/06/22;000000;121.43;124;120.01;123.42;2100623
MTLR;D;30/06/22;000000;123.4;127.58;117.62;123.89;3897587
MTLR;D;01/07/22;000000;123.88;124.6;118.8;123.66;2205003
MTLR;D;04/07/22;000000;123.3;127.5;120.55;121.2;1415377
MTLR;D;05/07/22;000000;121;125.6;118.53;122.94;3014713
MTLR;D;06/07/22;000000;123.03;127.4;123;123.6;1979017
MTLR;D;07/07/22;000000;124.07;124.89;121.1;121.57;1444979
MTLR;D;08/07/22;000000;121.6;123.72;121.23;121.95;1153766
MTLR;D;11/07/22;000000;122.27;123.27;116.82;116.9;1606187
MTLR;D;12/07/22;000000;116.9;117;112.98;115.4;1430392
MTLR;D;13/07/22;000000;115.65;116.27;110.9;111.73;1342965
MTLR;D;14/07/22;000000;112.01;114.95;111.56;112.27;1506999
MTLR;D;15/07/22;000000;113.53;114.87;111.51;113.97;1275070
MTLR;D;18/07/22;000000;114.67;115;113.25;114.49;627318
MTLR;D;19/07/22;000000;115.1;115.89;111.45;112.47;1166239
MTLR;D;20/07/22;000000;112.97;114.17;111.43;111.8;768989
MTLR;D;21/07/22;000000;111.5;111.62;104.07;111.3;5371361
MTLR;D;22/07/22;000000;111.26;113.99;111.01;112.79;1462304
MTLR;D;25/07/22;000000;113.25;122.21;111.5;122.15;4353868
MTLR;D;26/07/22;000000;122.17;124.98;121.66;124.39;3411524
MTLR;D;27/07/22;000000;124.4;125.99;122.05;122.55;1908566
MTLR;D;28/07/22;000000;124;124.5;119.6;123.85;2375432
MTLR;D;29/07/22;000000;123.84;127;123.2;125.4;3010965
MTLR;D;01/08/22;000000;125.42;128;123.85;124.44;3042446
MTLR;D;02/08/22;000000;123.99;123.99;118.03;119.5;2812957
MTLR;D;03/08/22;000000;119.32;122.27;118.2;120.19;1124095
MTLR;D;04/08/22;000000;119.99;123.75;119.35;122.3;1273251
MTLR;D;05/08/22;000000;122.5;123.68;117.01;118.5;1573499
MTLR;D;08/08/22;000000;120.27;124.07;120;123.39;1714600
MTLR;D;09/08/22;000000;123.51;131.85;121.9;129;7958907
MTLR;D;10/08/22;000000;129.75;131.55;128.74;130.2;2300363
MTLR;D;11/08/22;000000;130.99;134.37;126.5;127.3;3984753
MTLR;D;12/08/22;000000;127.3;131.25;126.02;131;1623789
MTLR;D;15/08/22;000000;131.59;131.98;129.28;131.6;1136875
MTLR;D;16/08/22;000000;131.75;133.2;130.6;132.15;1105851
MTLR;D;17/08/22;000000;132;133.5;125.5;126.75;3052216
MTLR;D;18/08/22;000000;127.57;130;126.06;126.2;4165475
MTLR;D;19/08/22;000000;127.09;127.22;124.1;125.8;1230723
MTLR;D;22/08/22;000000;125.7;127.29;124.43;126.34;968017
MTLR;D;23/08/22;000000;126.88;127.95;125.72;126.28;1130590
MTLR;D;24/08/22;000000;126.52;127.28;125.03;125.65;731784
MTLR;D;25/08/22;000000;126.5;126.99;124.27;124.5;902183
MTLR;D;26/08/22;000000;124.7;124.79;122.2;124.34;1630302
MTLR;D;29/08/22;000000;124.63;125.29;123.3;124.12;1112700
MTLR;D;30/08/22;000000;124.47;127.97;124.05;125.63;2717915
MTLR;D;31/08/22;000000;126.21;129.98;119.1;124.5;2642662
MTLR;D;01/09/22;000000;124.99;127;123.82;126.15;1578437
MTLR;D;02/09/22;000000;126.68;129.51;126.55;128.4;3204188
MTLR;D;05/09/22;000000;129;133.16;127.77;132.85;3030133
MTLR;D;06/09/22;000000;133.02;133.77;126.13;130.18;3225170
MTLR;D;07/09/22;000000;129.95;129.95;127;127.44;1371373
MTLR;D;08/09/22;000000;127.3;128.22;126.01;126.86;1164888
MTLR;D;09/09/22;000000;126.94;128.79;126.49;128.21;1374598
MTLR;D;12/09/22;000000;128.15;129.84;126.2;126.91;1666743
MTLR;D;13/09/22;000000;127.11;129.1;127;127.5;1301062
MTLR;D;14/09/22;000000;127.9;127.96;123.11;126.5;2160586
MTLR;D;15/09/22;000000;124.49;126;122.21;122.43;4200954
MTLR;D;16/09/22;000000;122.43;123.54;121.07;121.94;2139799
MTLR;D;19/09/22;000000;122;122.72;121.05;121.25;564511
MTLR;D;20/09/22;000000;120.5;122.43;107.01;107.92;6606613
MTLR;D;21/09/22;000000;99.96;109.6;71.02;106.72;4648645
MTLR;D;22/09/22;000000;106.31;117.72;105.1;114.26;4981818
MTLR;D;23/09/22;000000;114.21;114.37;106.01;109.01;3335822
MTLR;D;26/09/22;000000;102.52;104.9;85.7;92.92;6247163
MTLR;D;27/09/22;000000;93.06;96.7;88.51;91.5;2454825
MTLR;D;28/09/22;000000;92.51;95.55;90.08;92.5;2342865
MTLR;D;29/09/22;000000;92.61;93.83;81.58;83.5;2806509
MTLR;D;30/09/22;000000;84.52;88.44;78.6;81.28;4203086
MTLR;D;03/10/22;000000;83.28;92.97;82.34;90;5313005
MTLR;D;04/10/22;000000;92.79;93.9;87.8;89.25;2848276
MTLR;D;05/10/22;000000;89.02;89.17;84.16;86.7;2517318
MTLR;D;06/10/22;000000;87.27;89.8;86.39;89.5;2791142
MTLR;D;07/10/22;000000;90.07;90.82;84;84.29;3099375
MTLR;D;10/10/22;000000;81.56;88;79.77;87.46;2895953
MTLR;D;11/10/22;000000;87.52;91.78;85.85;90.81;2430704
MTLR;D;12/10/22;000000;91.25;92.76;88.54;91.19;2262558
MTLR;D;13/10/22;000000;91.45;92.93;88.38;91.35;1434140
MTLR;D;14/10/22;000000;91.68;97;90.52;96.11;3123150
MTLR;D;17/10/22;000000;96.8;100.8;96.03;99.42;2663388
MTLR;D;18/10/22;000000;99.76;101.13;96.9;98.02;2119581
MTLR;D;19/10/22;000000;96.98;97.77;94.15;95.56;1760751
MTLR;D;20/10/22;000000;96.09;97.45;95.46;96.62;2473274
MTLR;D;21/10/22;000000;96.71;97.87;94.03;97.45;1512356
MTLR;D;24/10/22;000000;97.78;99.44;95.01;95.71;1852434
MTLR;D;25/10/22;000000;96;98.91;95.61;97.84;1811423
MTLR;D;26/10/22;000000;101.15;101.9;96.56;98.33;2490774
MTLR;D;27/10/22;000000;99.01;101.49;98.18;100.23;2578779
MTLR;D;28/10/22;000000;99.51;100.04;97.9;99.61;1390265
MTLR;D;31/10/22;000000;100.13;100.88;98.9;99.57;1077674
MTLR;D;01/11/22;000000;99.68;100.47;98.9;99.81;691566
MTLR;D;02/11/22;000000;99.99;100;98.5;99.35;920767
