<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;D;14/07/23;000000;246.3;247.05;244.51;246.45;25576610
SBER;D;17/07/23;000000;244.76;246.2;243.6;245.39;35730950
SBER;D;18/07/23;000000;245.6;247.5;245.26;246.77;35911790
SBER;D;19/07/23;000000;247.21;248.1;245;245.85;31394740
SBER;D;20/07/23;000000;246.25;246.25;242.15;242.7;35960520
SBER;D;21/07/23;000000;243.17;244.53;241.7;244.13;32120690
SBER;D;24/07/23;000000;243.99;245.85;243.52;244.87;19681330
SBER;D;25/07/23;000000;245.37;247.77;244.81;247.2;39683790
SBER;D;26/07/23;000000;247.22;248.33;245.9;247.05;26031980
SBER;D;27/07/23;000000;247.51;249.3;247.24;247.95;39756100
SBER;D;28/07/23;000000;247.99;249.45;246.67;249.25;35742280
SBER;D;31/07/23;000000;251.35;267.77;251.35;267.4;167081570
SBER;D;01/08/23;000000;268.98;273.35;264.1;268.5;162474350
SBER;D;02/08/23;000000;268.53;269.97;266.52;268.57;48208590
SBER;D;03/08/23;000000;269.01;271.35;266.8;269.11;75376240
SBER;D;04/08/23;000000;269.48;272.96;261.21;264.12;132164900
SBER;D;07/08/23;000000;266.5;268.09;260.5;261.92;61223950
SBER;D;08/08/23;000000;261.91;265.44;258.8;264.62;65005790
SBER;D;09/08/23;000000;265.46;265.8;263.05;263.91;34850720
SBER;D;10/08/23;000000;264.72;267.5;263.96;266.91;37190100
SBER;D;11/08/23;000000;267.2;267.4;264.8;266.23;24716230
SBER;D;14/08/23;000000;267.37;268.77;259.15;260.45;86583040
SBER;D;15/08/23;000000;259.1;264.17;256.63;260.42;58967150
SBER;D;16/08/23;000000;261.29;261.68;254.33;256.02;71737910
